COLONIA DEL HECHO,counts,ADDRESS,location,point,latitude,longitude
BUENOS AIRES NORTE,718,"BUENOS AIRES NORTE,Tijuana,Mexico",,,32.5171,-116.9013
AMPLIACION GUAYCURA,715,"AMPLIACION GUAYCURA,Tijuana,Mexico","Parque Ampliación Guaycura, El Chino, Jardín Dorado, Tijuana, Municipio de Tijuana, Baja California, 22214, México","(32.5064214, -116.9184174, 0.0)",32.5064214,-116.9184174
PEDREGAL DE SANTA JULIA,710,"PEDREGAL DE SANTA JULIA,Tijuana,Mexico",,,32.4936,-117.0603
MARIANO MATAMOROS SUR,709,"MARIANO MATAMOROS SUR,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México","(32.513355, -116.945469, 0.0)",32.513355,-116.945469
20 DE NOVIEMBRE,688,"20 DE NOVIEMBRE,Tijuana,Mexico","20 de Noviembre, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México","(32.4629008, -116.9466914, 0.0)",32.4629008,-116.9466914
EL DORADO RESIDENCIAL,658,"EL DORADO RESIDENCIAL,Tijuana,Mexico","Autopista Tijuana-Ensenada, Costa Coronado Residencial, Tijuana, Municipio de Tijuana, Baja California, 22667, México","(32.5140884, -117.1096189, 0.0)",32.5140884,-117.1096189
CIUDAD INDUSTRIAL,656,"CIUDAD INDUSTRIAL,Tijuana,Mexico","Ciudad Industrial, Jardín Dorado, Chilpancingo, Municipio de Tijuana, Baja California, 22444, México","(32.539317249999996, -116.91348173462262, 0.0)",32.539317249999996,-116.91348173462262
ALTIPLANO,622,"ALTIPLANO,Tijuana,Mexico","Altiplano 5ta, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22709, México","(32.5219074, -116.8395646, 0.0)",32.5219074,-116.8395646
INDEPENDENCIA,618,"INDEPENDENCIA,Tijuana,Mexico","Independencia, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22682, México","(32.4779492, -116.937688, 0.0)",32.4779492,-116.937688
3 DE OCTUBRE,607,"3 DE OCTUBRE,Tijuana,Mexico","3 de Octubre, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México","(32.4604092, -116.947183, 0.0)",32.4604092,-116.947183
CAMPESTRE MURUA,595,"CAMPESTRE MURUA,Tijuana,Mexico","Jose Vasconcelos 4,Unidad Campestre Murua, Boulevard Gato Bronco, El Chino, Jardín Dorado, Tijuana, Municipio de Tijuana, Baja California, 22010, México","(32.520025, -116.926953, 0.0)",32.520025,-116.926953
FRACC HCDA LAS DELICIAS,577,"FRACC HCDA LAS DELICIAS,Tijuana,Mexico",,,32.407,-116.9411
BUENA VISTA,556,"BUENA VISTA,Tijuana,Mexico","Buena Vista, Tijuana, Municipio de Tijuana, Baja California, 22415, México","(32.520183149999994, -116.9869404831678, 0.0)",32.520183149999994,-116.9869404831678
VALLE VERDE,553,"VALLE VERDE,Tijuana,Mexico","Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22203, México","(32.5201768, -116.8704382, 0.0)",32.5201768,-116.8704382
EL LAUREL,550,"EL LAUREL,Tijuana,Mexico","El Laurel, Terrazas del Valle, El Refugio, Municipio de Tijuana, Baja California, 22253, México","(32.4655621, -116.8326278, 0.0)",32.4655621,-116.8326278
LA GLORIA,544,"LA GLORIA,Tijuana,Mexico","Real de La Gloria, Del. Sanchez Taboada, Pórticos de San Antonio, Municipio de Tijuana, Baja California, México","(32.44069045, -117.04468417696242, 0.0)",32.44069045,-117.04468417696242
REFORMA,536,"REFORMA,Tijuana,Mexico","Reforma, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México","(32.4705996, -116.9504955, 0.0)",32.4705996,-116.9504955
LOS ALAMOS,529,"LOS ALAMOS,Tijuana,Mexico","Tijuana, Municipio de Tijuana, Baja California, 22105, México","(32.5010188, -116.9646629, 0.0)",32.5010188,-116.9646629
10 DE MAYO,527,"10 DE MAYO,Tijuana,Mexico",,,32.5415,-116.8866
LAZARO CARDENAS,526,"LAZARO CARDENAS,Tijuana,Mexico","Lázaro Cárdenas, Tijuana, Municipio de Tijuana, Baja California, México","(32.5266021, -117.0986317, 0.0)",32.5266021,-117.0986317
BAJA MAQ. EL AGUILA,523,"BAJA MAQ. EL AGUILA,Tijuana,Mexico",,,32.4955,-116.9043
ANEXA LOMA DORADA,501,"ANEXA LOMA DORADA,Tijuana,Mexico",,,32.4651,-116.9466
EJIDO MACLOVIO ROJAS,498,"EJIDO MACLOVIO ROJAS,Tijuana,Mexico","Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México","(32.4742264, -116.8018453, 0.0)",32.4742264,-116.8018453
ZONA RIO,498,"ZONA RIO,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México","(32.52963695, -117.01986845015388, 0.0)",32.52963695,-117.01986845015388
EL TECOLOTE,483,"EL TECOLOTE,Tijuana,Mexico","Calle Tecolote, El Escondido, Planicie, Tijuana, Municipio de Tijuana, Baja California, 22473, México","(32.5530058, -116.8816674, 0.0)",32.5530058,-116.8816674
SALVATIERRA,479,"SALVATIERRA,Tijuana,Mexico","Salvatierra, Tijuana, Municipio de Tijuana, Baja California, 22607, México","(32.4829489, -117.0720732, 0.0)",32.5106,-116.9668
LOS SANTOS,479,"LOS SANTOS,Tijuana,Mexico",,,,
EL MIRADOR,476,"EL MIRADOR,Tijuana,Mexico","El Mirador, Altiplano 5ta, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22709, México","(32.5157821, -116.8356843, 0.0)",32.5157821,-116.8356843
GARITA DE OTAY,476,"GARITA DE OTAY,Tijuana,Mexico","Boulevard Garita de Otay, Rincón de Otay, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22519, México","(32.5348173, -116.9382995, 0.0)",32.5348173,-116.9382995
LA MORITA,473,"LA MORITA,Tijuana,Mexico","La Morita, Terrazas del Valle, El Refugio, Municipio de Tijuana, Baja California, 22245, México","(32.4755559, -116.8415907, 0.0)",32.4755559,-116.8415907
PRESIDENTES,459,"PRESIDENTES,Tijuana,Mexico","INFONAVIT Presidentes, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22101, México","(32.49070405, -116.90635142395871, 0.0)",32.49070405,-116.90635142395871
OTAY UNIVERSIDAD,459,"OTAY UNIVERSIDAD,Tijuana,Mexico","Otay Universidad, Tijuana, Municipio de Tijuana, Baja California, 22427, México","(32.52722345, -116.97483435569566, 0.0)",32.52722345,-116.97483435569566
JARDINES DEL RUBI,455,"JARDINES DEL RUBI,Tijuana,Mexico",,,32.4827,-117.0279
LIBERTAD PARTE BAJA,436,"LIBERTAD PARTE BAJA,Tijuana,Mexico","Cañón Johnson Sur Parte Baja, Cima, Tijuana, Municipio de Tijuana, Baja California, 22056, México","(32.5042674, -117.0437694, 0.0)",32.5042674,-117.0437694
TOMAS AQUINO,435,"TOMAS AQUINO,Tijuana,Mexico","Tomas Aquino, Tijuana, Municipio de Tijuana, Baja California, 22414, México","(32.5284032, -116.98612669044981, 0.0)",32.5284032,-116.98612669044981
SANTA FE,432,"SANTA FE,Tijuana,Mexico","Santa Fe, Villa Residencial Santa Fe 1ra Sección, Del. Sanchez Taboada, Pórticos de San Antonio, Municipio de Tijuana, Baja California, 22663, México","(32.4472379, -117.0420699, 0.0)",32.4472379,-117.0420699
VILLA DEL ALAMO,428,"VILLA DEL ALAMO,Tijuana,Mexico","Villa del Alamo, El Porvenir, San Luis, Municipio de Tijuana, Baja California, México","(32.4337319, -116.94340113729231, 0.0)",32.4337319,-116.94340113729231
VILLA DEL REAL I,427,"VILLA DEL REAL I,Tijuana,Mexico",,,32.513,-116.8594
AVIACION,415,"AVIACION,Tijuana,Mexico","Aviación, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22014, México","(32.5134672, -117.0083679, 0.0)",32.5134672,-117.0083679
OTAY CONSTITUYENTES,414,"OTAY CONSTITUYENTES,Tijuana,Mexico","Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México","(32.5293228, -116.9466581, 0.0)",32.5293228,-116.9466581
EJIDO OJO DE AGUA,413,"EJIDO OJO DE AGUA,Tijuana,Mexico","Ejido Ojo de Agua, El Florido, Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México","(32.4753187, -116.788711, 0.0)",32.4753187,-116.788711
HIDALGO,411,"HIDALGO,Tijuana,Mexico","Hidalgo, Tijuana, Municipio de Tijuana, Baja California, 22056, México","(32.5122864, -117.0453683, 0.0)",32.5122864,-117.0453683
LOMAS TAURINAS,410,"LOMAS TAURINAS,Tijuana,Mexico","Lomas Taurinas, Tijuana, Municipio de Tijuana, Baja California, 22410, México","(32.535429300000004, -116.9851862485489, 0.0)",32.535429300000004,-116.9851862485489
EL FLORIDO IV,403,"EL FLORIDO IV,Tijuana,Mexico","El Florido, Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México","(32.4625768, -116.8058697, 0.0)",32.4625768,-116.8058697
CIUDAD JARDIN,402,"CIUDAD JARDIN,Tijuana,Mexico","Ciudad Jardín, Tijuana, Municipio de Tijuana, Baja California, 22600, México","(32.5117637, -117.063674, 0.0)",32.5117637,-117.063674
EJIDO LAZARO CARDENAS,397,"EJIDO LAZARO CARDENAS,Tijuana,Mexico",,,,
PLAYAS DE TIJUANA,397,"PLAYAS DE TIJUANA,Tijuana,Mexico","Playas de Tijuana, Calle Colima, Playas de Tijuana Secc Terrazas, Tijuana, Municipio de Tijuana, Baja California, 22101, México","(32.531755, -117.116418, 0.0)",32.435,-117.0073
INFONAVIT LOMAS DEL PORVENIR,396,"INFONAVIT LOMAS DEL PORVENIR,Tijuana,Mexico",,,32.5203,-117.0691
